"Race","Contest ID","Candidate","Party","Day1_Votes_Aug4","Day1_VoteShare_Pct","Day2_Votes","Day2_VoteShare_Pct","Day2_VoteChange","Day2_ShareChange"
"State Representative Pos. 2 - Legislative District 40","170673","Monte Jay Mahan","(Prefers Independent Party)","2109","8.06","","","",""
"State Representative Pos. 2 - Legislative District 40","170673","Write-In","","58","","","","",""
"State Representative Pos. 2 - Legislative District 40","170673","Over Votes","","31","","","","",""
"State Representative Pos. 2 - Legislative District 40","170673","Under Votes","","1138","","","","",""
"State Representative Pos. 1 - Legislative District 3","SpokaneLD3P1","Ballots Cast","","22788","","","","",""
"State Representative Pos. 1 - Legislative District 3","SpokaneLD3P1","Natasha Hill","","14458","63.45","","","",""
"State Representative Pos. 1 - Legislative District 3","SpokaneLD3P1","John Kness","","1184","5.2","","","",""
"State Representative Pos. 1 - Legislative District 3","SpokaneLD3P1","Tony Kiepe","","7094","31.13","","","",""
"State Representative Pos. 1 - Legislative District 3","SpokaneLD3P1","Write-In","","52","","","","",""
"State Representative Pos. 2 - Legislative District 3","SpokaneLD3P2","Ballots Cast","","22723","","","","",""
"State Representative Pos. 2 - Legislative District 3","SpokaneLD3P2","Natalie Poulson","","7653","33.68","","","",""
"State Representative Pos. 2 - Legislative District 3","SpokaneLD3P2","Pam Kohlmeier","","7237","31.85","","","",""
"State Representative Pos. 2 - Legislative District 3","SpokaneLD3P2","Luc Jasmin III","","6877","30.26","","","",""
"State Representative Pos. 2 - Legislative District 3","SpokaneLD3P2","Donovan Arnold DeLeon","","939","4.13","","","",""
"State Representative Pos. 2 - Legislative District 3","SpokaneLD3P2","Write-In","","17","","","","",""
"State Representative Pos. 1 - Legislative District 4","SpokaneLD4P1","Ballots Cast","","18688","","","","",""
"State Representative Pos. 1 - Legislative District 4","SpokaneLD4P1","Trent Maier","","5486","29.36","","","",""
"State Representative Pos. 1 - Legislative District 4","SpokaneLD4P1","Hillary Q. Pham","","5642","30.19","","","",""
"State Representative Pos. 1 - Legislative District 4","SpokaneLD4P1","Debra Long","","3828","20.48","","","",""
"State Representative Pos. 1 - Legislative District 4","SpokaneLD4P1","George Wagner","","3034","16.24","","","",""
"State Representative Pos. 1 - Legislative District 4","SpokaneLD4P1","Write-In","","698","","","","",""
"State Representative Pos. 2 - Legislative District 4","SpokaneLD4P2","Ballots Cast","","21682","","","","",""
"State Representative Pos. 2 - Legislative District 4","SpokaneLD4P2","Rob Chase","","9207","42.46","","","",""
"State Representative Pos. 2 - Legislative District 4","SpokaneLD4P2","Bob Curtis","","3439","15.86","","","",""
"State Representative Pos. 2 - Legislative District 4","SpokaneLD4P2","Rob Tupper","","8937","41.22","","","",""
"State Representative Pos. 2 - Legislative District 4","SpokaneLD4P2","Write-In","","99","","","","",""
"State Senator - Legislative District 6","SpokaneLD6Sen","Ballots Cast","","14564","","","","",""
"State Senator - Legislative District 6","SpokaneLD6Sen","Jeff Holy","","13456","92.39","","","",""
"State Senator - Legislative District 6","SpokaneLD6Sen","Write-In","","1108","","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Ballots Cast","","19518","","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Sueann Davis","","1021","5.23","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Isaiah Paine","","3731","19.12","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Michaela Kelso","","5794","29.69","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Jennifer Morton","","1482","7.59","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Nicolette Ocheltree","","2362","12.1","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Alan Nolan","","5065","25.95","","","",""
"State Representative Pos. 1 - Legislative District 6","SpokaneLD6P1","Write-In","","63","","","","",""
"State Representative Pos. 2 - Legislative District 6","SpokaneLD6P2","Ballots Cast","","19774","","","","",""
"State Representative Pos. 2 - Legislative District 6","SpokaneLD6P2","Jonathan Bingle","","10131","51.23","","","",""
"State Representative Pos. 2 - Legislative District 6","SpokaneLD6P2","Julia Payne","","5068","25.63","","","",""
"State Representative Pos. 2 - Legislative District 6","SpokaneLD6P2","Aaron M. Croft","","4531","22.91","","","",""
"State Representative Pos. 2 - Legislative District 6","SpokaneLD6P2","Write-In","","44","","","","",""
"State Representative Pos. 1 - Legislative District 5","KingCo_StateRepresentativePos1LegislativeDistrict5","Ballots Cast","","21847","","","","",""
"State Representative Pos. 1 - Legislative District 5","KingCo_StateRepresentativePos1LegislativeDistrict5","Zach Hall","","9671","44.27","","","",""
"State Representative Pos. 1 - Legislative District 5","KingCo_StateRepresentativePos1LegislativeDistrict5","Michelle Bennett","","9247","42.33","","","",""
"State Representative Pos. 1 - Legislative District 5","KingCo_StateRepresentativePos1LegislativeDistrict5","Aimee Warmerdam","","1924","8.81","","","",""
"State Representative Pos. 1 - Legislative District 5","KingCo_StateRepresentativePos1LegislativeDistrict5","Topher Leritz","","525","2.4","","","",""
"State Representative Pos. 1 - Legislative District 5","KingCo_StateRepresentativePos1LegislativeDistrict5","Write-in","","25","","","","",""
"State Representative Pos. 2 - Legislative District 5","KingCo_StateRepresentativePos2LegislativeDistrict5","Ballots Cast","","21847","","","","",""
"State Representative Pos. 2 - Legislative District 5","KingCo_StateRepresentativePos2LegislativeDistrict5","Lisa Callan","","12399","56.75","","","",""
"State Representative Pos. 2 - Legislative District 5","KingCo_StateRepresentativePos2LegislativeDistrict5","Patrick Peacock","","9087","41.59","","","",""
"State Representative Pos. 2 - Legislative District 5","KingCo_StateRepresentativePos2LegislativeDistrict5","Write-in","","28","","","","",""
"State Representative Pos. 1 - Legislative District 11","KingCo_StateRepresentativePos1LegislativeDistrict11","Ballots Cast","","13917","","","","",""
"State Representative Pos. 1 - Legislative District 11","KingCo_StateRepresentativePos1LegislativeDistrict11","David Hackney","","5821","41.83","","","",""
"State Representative Pos. 1 - Legislative District 11","KingCo_StateRepresentativePos1LegislativeDistrict11","Ashley Fedan","","4027","28.94","","","",""
"State Representative Pos. 1 - Legislative District 11","KingCo_StateRepresentativePos1LegislativeDistrict11","Christian Rombough","","3748","26.93","","","",""
"State Representative Pos. 1 - Legislative District 11","KingCo_StateRepresentativePos1LegislativeDistrict11","Write-in","","23","","","","",""
"State Representative Pos. 2 - Legislative District 11","KingCo_StateRepresentativePos2LegislativeDistrict11","Ballots Cast","","13917","","","","",""
"State Representative Pos. 2 - Legislative District 11","KingCo_StateRepresentativePos2LegislativeDistrict11","Steve Bergquist","","10235","73.54","","","",""
"State Representative Pos. 2 - Legislative District 11","KingCo_StateRepresentativePos2LegislativeDistrict11","Write-in","","760","","","","",""
"State Senator - Legislative District 30","KingCo_StateSenatorLegislativeDistrict30","Ballots Cast","","12328","","","","",""
"State Senator - Legislative District 30","KingCo_StateSenatorLegislativeDistrict30","Claire Wilson","","7476","60.64","","","",""
"State Senator - Legislative District 30","KingCo_StateSenatorLegislativeDistrict30","Michael Rutland","","4681","37.97","","","",""
"State Senator - Legislative District 30","KingCo_StateSenatorLegislativeDistrict30","Write-in","","12","","","","",""
"State Representative Pos. 1 - Legislative District 30","KingCo_StateRepresentativePos1LegislativeDistrict30","Ballots Cast","","12328","","","","",""
"State Representative Pos. 1 - Legislative District 30","KingCo_StateRepresentativePos1LegislativeDistrict30","Jamila E. Taylor","","7677","62.27","","","",""
"State Representative Pos. 1 - Legislative District 30","KingCo_StateRepresentativePos1LegislativeDistrict30","Tiffany Bowyer","","4456","36.15","","","",""
"State Representative Pos. 1 - Legislative District 30","KingCo_StateRepresentativePos1LegislativeDistrict30","Write-in","","22","","","","",""
"State Representative Pos. 2 - Legislative District 30","KingCo_StateRepresentativePos2LegislativeDistrict30","Ballots Cast","","12328","","","","",""
"State Representative Pos. 2 - Legislative District 30","KingCo_StateRepresentativePos2LegislativeDistrict30","Kristine Reeves","","7598","61.63","","","",""
"State Representative Pos. 2 - Legislative District 30","KingCo_StateRepresentativePos2LegislativeDistrict30","Paul McDaniel","","4328","35.11","","","",""
"State Representative Pos. 2 - Legislative District 30","KingCo_StateRepresentativePos2LegislativeDistrict30","Write-in","","71","","","","",""
"State Senator - Legislative District 33","KingCo_StateSenatorLegislativeDistrict33","Ballots Cast","","13422","","","","",""
"State Senator - Legislative District 33","KingCo_StateSenatorLegislativeDistrict33","Tina L. Orwall","","10166","75.74","","","",""
"State Senator - Legislative District 33","KingCo_StateSenatorLegislativeDistrict33","Write-in","","635","","","","",""
"State Representative Pos. 1 - Legislative District 33","KingCo_StateRepresentativePos1LegislativeDistrict33","Ballots Cast","","13422","","","","",""
"State Representative Pos. 1 - Legislative District 33","KingCo_StateRepresentativePos1LegislativeDistrict33","Edwin Obras","","9155","68.21","","","",""
"State Representative Pos. 1 - Legislative District 33","KingCo_StateRepresentativePos1LegislativeDistrict33","Chris Martinez","","2045","15.24","","","",""
"State Representative Pos. 1 - Legislative District 33","KingCo_StateRepresentativePos1LegislativeDistrict33","Darryl K. Jones","","1935","14.42","","","",""
"State Representative Pos. 1 - Legislative District 33","KingCo_StateRepresentativePos1LegislativeDistrict33","Write-in","","38","","","","",""
"State Representative Pos. 2 - Legislative District 33","KingCo_StateRepresentativePos2LegislativeDistrict33","Ballots Cast","","13422","","","","",""
"State Representative Pos. 2 - Legislative District 33","KingCo_StateRepresentativePos2LegislativeDistrict33","Mia Su-Ling Gregerson","","6851","51.04","","","",""
"State Representative Pos. 2 - Legislative District 33","KingCo_StateRepresentativePos2LegislativeDistrict33","Yuri Marinchik","","3349","24.95","","","",""
"State Representative Pos. 2 - Legislative District 33","KingCo_StateRepresentativePos2LegislativeDistrict33","Alex Andrade","","2906","21.65","","","",""
"State Representative Pos. 2 - Legislative District 33","KingCo_StateRepresentativePos2LegislativeDistrict33","Write-in","","27","","","","",""
"State Senator - Legislative District 34","KingCo_StateSenatorLegislativeDistrict34","Ballots Cast","","21175","","","","",""
"State Senator - Legislative District 34","KingCo_StateSenatorLegislativeDistrict34","Emily Alvarado","","16754","79.12","","","",""
"State Senator - Legislative District 34","KingCo_StateSenatorLegislativeDistrict34","Write-in","","565","","","","",""
"State Representative Pos. 1 - Legislative District 34","KingCo_StateRepresentativePos1LegislativeDistrict34","Ballots Cast","","21175","","","","",""
"State Representative Pos. 1 - Legislative District 34","KingCo_StateRepresentativePos1LegislativeDistrict34","Brianna K. Thomas","","16531","78.07","","","",""
"State Representative Pos. 1 - Legislative District 34","KingCo_StateRepresentativePos1LegislativeDistrict34","Write-in","","559","","","","",""
"State Representative Pos. 2 - Legislative District 34","KingCo_StateRepresentativePos2LegislativeDistrict34","Ballots Cast","","21175","","","","",""
"State Representative Pos. 2 - Legislative District 34","KingCo_StateRepresentativePos2LegislativeDistrict34","Joe Fitzgibbon","","14529","68.61","","","",""
"State Representative Pos. 2 - Legislative District 34","KingCo_StateRepresentativePos2LegislativeDistrict34","Mary Anito","","4891","23.1","","","",""
"State Representative Pos. 2 - Legislative District 34","KingCo_StateRepresentativePos2LegislativeDistrict34","Write-in","","315","","","","",""
"State Senator - Legislative District 36","KingCo_StateSenatorLegislativeDistrict36","Ballots Cast","","22916","","","","",""
"State Senator - Legislative District 36","KingCo_StateSenatorLegislativeDistrict36","Noel C. Frame","","19216","83.85","","","",""
"State Senator - Legislative District 36","KingCo_StateSenatorLegislativeDistrict36","Jillian England","","3033","13.24","","","",""
"State Senator - Legislative District 36","KingCo_StateSenatorLegislativeDistrict36","Write-in","","54","","","","",""
"State Representative Pos. 1 - Legislative District 36","KingCo_StateRepresentativePos1LegislativeDistrict36","Ballots Cast","","22916","","","","",""
"State Representative Pos. 1 - Legislative District 36","KingCo_StateRepresentativePos1LegislativeDistrict36","Julia Grant Reed","","18712","81.65","","","",""
"State Representative Pos. 1 - Legislative District 36","KingCo_StateRepresentativePos1LegislativeDistrict36","Write-in","","423","","","","",""
"State Representative Pos. 2 - Legislative District 36","KingCo_StateRepresentativePos2LegislativeDistrict36","Ballots Cast","","22916","","","","",""
"State Representative Pos. 2 - Legislative District 36","KingCo_StateRepresentativePos2LegislativeDistrict36","Liz Berry","","18822","82.13","","","",""
"State Representative Pos. 2 - Legislative District 36","KingCo_StateRepresentativePos2LegislativeDistrict36","Write-in","","450","","","","",""
"State Senator - Legislative District 37","KingCo_StateSenatorLegislativeDistrict37","Ballots Cast","","17190","","","","",""
"State Senator - Legislative District 37","KingCo_StateSenatorLegislativeDistrict37","Chipalo Street","","11718","68.17","","","",""
"State Senator - Legislative District 37","KingCo_StateSenatorLegislativeDistrict37","Tatiana Brown","","4114","23.93","","","",""
"State Senator - Legislative District 37","KingCo_StateSenatorLegislativeDistrict37","Write-in","","181","","","","",""
"State Representative Pos. 1 - Legislative District 37","KingCo_StateRepresentativePos1LegislativeDistrict37","Ballots Cast","","17190","","","","",""
"State Representative Pos. 1 - Legislative District 37","KingCo_StateRepresentativePos1LegislativeDistrict37","Sharon Tomiko Santos","","8647","50.3","","","",""
"State Representative Pos. 1 - Legislative District 37","KingCo_StateRepresentativePos1LegislativeDistrict37","Kelabe Tewolde","","7397","43.03","","","",""
"State Representative Pos. 1 - Legislative District 37","KingCo_StateRepresentativePos1LegislativeDistrict37","Write-in","","149","","","","",""
"State Representative Pos. 2 - Legislative District 37","KingCo_StateRepresentativePos2LegislativeDistrict37","Ballots Cast","","17190","","","","",""
"State Representative Pos. 2 - Legislative District 37","KingCo_StateRepresentativePos2LegislativeDistrict37","Jaelynn Scott","","13823","80.41","","","",""
"State Representative Pos. 2 - Legislative District 37","KingCo_StateRepresentativePos2LegislativeDistrict37","Evon McCorkle","","1970","11.46","","","",""
"State Representative Pos. 2 - Legislative District 37","KingCo_StateRepresentativePos2LegislativeDistrict37","Write-in","","190","","","","",""
"State Representative Pos. 1 - Legislative District 41","KingCo_StateRepresentativePos1LegislativeDistrict41","Ballots Cast","","20194","","","","",""
"State Representative Pos. 1 - Legislative District 41","KingCo_StateRepresentativePos1LegislativeDistrict41","Janice Zahn","","14214","70.39","","","",""
"State Representative Pos. 1 - Legislative District 41","KingCo_StateRepresentativePos1LegislativeDistrict41","Elle Nguyen","","5410","26.79","","","",""
"State Representative Pos. 1 - Legislative District 41","KingCo_StateRepresentativePos1LegislativeDistrict41","Alex Tsimerman","","190","0.94","","","",""
"State Representative Pos. 1 - Legislative District 41","KingCo_StateRepresentativePos1LegislativeDistrict41","Write-in","","33","","","","",""
"State Representative Pos. 2 - Legislative District 41","KingCo_StateRepresentativePos2LegislativeDistrict41","Ballots Cast","","20194","","","","",""
"State Representative Pos. 2 - Legislative District 41","KingCo_StateRepresentativePos2LegislativeDistrict41","My-Linh T Thai","","12943","64.09","","","",""
"State Representative Pos. 2 - Legislative District 41","KingCo_StateRepresentativePos2LegislativeDistrict41","Michael Rosen","","6470","32.04","","","",""
"State Representative Pos. 2 - Legislative District 41","KingCo_StateRepresentativePos2LegislativeDistrict41","Write-in","","83","","","","",""
"State Senator - Legislative District 43","KingCo_StateSenatorLegislativeDistrict43","Ballots Cast","","18334","","","","",""
"State Senator - Legislative District 43","KingCo_StateSenatorLegislativeDistrict43","Jamie Pedersen","","12633","68.9","","","",""
"State Senator - Legislative District 43","KingCo_StateSenatorLegislativeDistrict43","Hannah Sabio-Howell","","3176","17.32","","","",""
"State Senator - Legislative District 43","KingCo_StateSenatorLegislativeDistrict43","Heather-Marie Wilson","","1911","10.42","","","",""
"State Senator - Legislative District 43","KingCo_StateSenatorLegislativeDistrict43","Write-in","","58","","","","",""
"State Representative Pos. 1 - Legislative District 43","KingCo_StateRepresentativePos1LegislativeDistrict43","Ballots Cast","","18334","","","","",""
"State Representative Pos. 1 - Legislative District 43","KingCo_StateRepresentativePos1LegislativeDistrict43","Nicole Macri","","15194","82.87","","","",""
"State Representative Pos. 1 - Legislative District 43","KingCo_StateRepresentativePos1LegislativeDistrict43","Alby Clendennin","","1310","7.15","","","",""
"State Representative Pos. 1 - Legislative District 43","KingCo_StateRepresentativePos1LegislativeDistrict43","Write-in","","238","","","","",""
"State Representative Pos. 2 - Legislative District 43","KingCo_StateRepresentativePos2LegislativeDistrict43","Ballots Cast","","18334","","","","",""
"State Representative Pos. 2 - Legislative District 43","KingCo_StateRepresentativePos2LegislativeDistrict43","Shaun Scott","","13732","74.9","","","",""
"State Representative Pos. 2 - Legislative District 43","KingCo_StateRepresentativePos2LegislativeDistrict43","Write-in","","556","","","","",""
"State Senator - Legislative District 45","KingCo_StateSenatorLegislativeDistrict45","Ballots Cast","","20173","","","","",""
"State Senator - Legislative District 45","KingCo_StateSenatorLegislativeDistrict45","Manka Dhingra","","14279","70.78","","","",""
"State Senator - Legislative District 45","KingCo_StateSenatorLegislativeDistrict45","Write-in","","1450","","","","",""
"State Representative Pos. 1 - Legislative District 45","KingCo_StateRepresentativePos1LegislativeDistrict45","Ballots Cast","","20173","","","","",""
"State Representative Pos. 1 - Legislative District 45","KingCo_StateRepresentativePos1LegislativeDistrict45","Roger Goodman","","14337","71.07","","","",""
"State Representative Pos. 1 - Legislative District 45","KingCo_StateRepresentativePos1LegislativeDistrict45","JoAnn Tolentino","","5426","26.9","","","",""
"State Representative Pos. 1 - Legislative District 45","KingCo_StateRepresentativePos1LegislativeDistrict45","Write-in","","49","","","","",""
"State Representative Pos. 2 - Legislative District 45","KingCo_StateRepresentativePos2LegislativeDistrict45","Ballots Cast","","20173","","","","",""
"State Representative Pos. 2 - Legislative District 45","KingCo_StateRepresentativePos2LegislativeDistrict45","Vanessa Kritzer","","12066","59.81","","","",""
"State Representative Pos. 2 - Legislative District 45","KingCo_StateRepresentativePos2LegislativeDistrict45","John P Gibbons","","4129","20.47","","","",""
"State Representative Pos. 2 - Legislative District 45","KingCo_StateRepresentativePos2LegislativeDistrict45","Chandler Torbett","","3186","15.79","","","",""
"State Representative Pos. 2 - Legislative District 45","KingCo_StateRepresentativePos2LegislativeDistrict45","Write-in","","74","","","","",""
"State Senator - Legislative District 46","KingCo_StateSenatorLegislativeDistrict46","Ballots Cast","","20986","","","","",""
"State Senator - Legislative District 46","KingCo_StateSenatorLegislativeDistrict46","Javier Valdez","","18180","86.63","","","",""
"State Senator - Legislative District 46","KingCo_StateSenatorLegislativeDistrict46","Sandra Stephens","","2121","10.11","","","",""
"State Senator - Legislative District 46","KingCo_StateSenatorLegislativeDistrict46","Write-in","","50","","","","",""
"State Representative Pos. 1 - Legislative District 46","KingCo_StateRepresentativePos1LegislativeDistrict46","Ballots Cast","","20986","","","","",""
"State Representative Pos. 1 - Legislative District 46","KingCo_StateRepresentativePos1LegislativeDistrict46","Gerry Pollet","","10687","50.92","","","",""
"State Representative Pos. 1 - Legislative District 46","KingCo_StateRepresentativePos1LegislativeDistrict46","Will Dreher","","6089","29.01","","","",""
"State Representative Pos. 1 - Legislative District 46","KingCo_StateRepresentativePos1LegislativeDistrict46","Ron Davis","","2692","12.83","","","",""
"State Representative Pos. 1 - Legislative District 46","KingCo_StateRepresentativePos1LegislativeDistrict46","Write-in","","198","","","","",""
"State Representative Pos. 2 - Legislative District 46","KingCo_StateRepresentativePos2LegislativeDistrict46","Ballots Cast","","20986","","","","",""
"State Representative Pos. 2 - Legislative District 46","KingCo_StateRepresentativePos2LegislativeDistrict46","Darya Farivar","","17470","83.25","","","",""
"State Representative Pos. 2 - Legislative District 46","KingCo_StateRepresentativePos2LegislativeDistrict46","Rodney 'Star' Thornley","","2127","10.14","","","",""
"State Representative Pos. 2 - Legislative District 46","KingCo_StateRepresentativePos2LegislativeDistrict46","Write-in","","164","","","","",""
"State Senator - Legislative District 47","KingCo_StateSenatorLegislativeDistrict47","Ballots Cast","","15327","","","","",""
"State Senator - Legislative District 47","KingCo_StateSenatorLegislativeDistrict47","Claudia Kauffman","","8821","57.55","","","",""
"State Senator - Legislative District 47","KingCo_StateSenatorLegislativeDistrict47","Kristina Soltys","","6174","40.28","","","",""
"State Senator - Legislative District 47","KingCo_StateSenatorLegislativeDistrict47","Write-in","","26","","","","",""
"State Representative Pos. 1 - Legislative District 47","KingCo_StateRepresentativePos1LegislativeDistrict47","Ballots Cast","","15327","","","","",""
"State Representative Pos. 1 - Legislative District 47","KingCo_StateRepresentativePos1LegislativeDistrict47","Debra Jean Entenman","","5560","36.28","","","",""
"State Representative Pos. 1 - Legislative District 47","KingCo_StateRepresentativePos1LegislativeDistrict47","Cobi Clark","","4346","28.36","","","",""
"State Representative Pos. 1 - Legislative District 47","KingCo_StateRepresentativePos1LegislativeDistrict47","Jasnoor Kaur Hans","","2742","17.89","","","",""
"State Representative Pos. 1 - Legislative District 47","KingCo_StateRepresentativePos1LegislativeDistrict47","Logan Evans","","1558","10.17","","","",""
"State Representative Pos. 1 - Legislative District 47","KingCo_StateRepresentativePos1LegislativeDistrict47","Write-in","","221","","","","",""
"State Representative Pos. 2 - Legislative District 47","KingCo_StateRepresentativePos2LegislativeDistrict47","Ballots Cast","","15327","","","","",""
"State Representative Pos. 2 - Legislative District 47","KingCo_StateRepresentativePos2LegislativeDistrict47","Chris Stearns","","8944","58.35","","","",""
"State Representative Pos. 2 - Legislative District 47","KingCo_StateRepresentativePos2LegislativeDistrict47","Ted Cooke","","6029","39.34","","","",""
"State Representative Pos. 2 - Legislative District 47","KingCo_StateRepresentativePos2LegislativeDistrict47","Write-in","","30","","","","",""
"State Senator - Legislative District 48","KingCo_StateSenatorLegislativeDistrict48","Ballots Cast","","14867","","","","",""
"State Senator - Legislative District 48","KingCo_StateSenatorLegislativeDistrict48","Vandana Slatter","","10870","73.11","","","",""
"State Senator - Legislative District 48","KingCo_StateSenatorLegislativeDistrict48","Write-in","","661","","","","",""
"State Representative Pos. 1 - Legislative District 48","KingCo_StateRepresentativePos1LegislativeDistrict48","Ballots Cast","","14867","","","","",""
"State Representative Pos. 1 - Legislative District 48","KingCo_StateRepresentativePos1LegislativeDistrict48","Osman Salahuddin","","10043","67.55","","","",""
"State Representative Pos. 1 - Legislative District 48","KingCo_StateRepresentativePos1LegislativeDistrict48","Jeffery Poppe","","4401","29.6","","","",""
"State Representative Pos. 1 - Legislative District 48","KingCo_StateRepresentativePos1LegislativeDistrict48","Write-in","","46","","","","",""
"State Representative Pos. 2 - Legislative District 48","KingCo_StateRepresentativePos2LegislativeDistrict48","Ballots Cast","","14867","","","","",""
"State Representative Pos. 2 - Legislative District 48","KingCo_StateRepresentativePos2LegislativeDistrict48","Amy Walen","","6715","45.17","","","",""
"State Representative Pos. 2 - Legislative District 48","KingCo_StateRepresentativePos2LegislativeDistrict48","Jessica Forsythe","","6097","41.01","","","",""
"State Representative Pos. 2 - Legislative District 48","KingCo_StateRepresentativePos2LegislativeDistrict48","Write-in","","358","","","","",""
